date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:25	186/186	---M--	302	error ('Object%20moved')	text/html	date:Fri,%2003%20Sep%202021%2019:34:24%20GMT	https://mychart.orlandohealth.com/MyChart/inside.asp?mode=letters	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/inside.02765.delayed	(from )
15:34:26	12452/12452	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Sep%202021%2019:34:25%20GMT	https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/Authentication/Login2d77.html	(from )
15:34:26	179/179	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Sep%202021%2019:34:25%20GMT	https://mychart.orlandohealth.com/robots.txt		(from )
15:34:27	116749/116749	---M--	200	added ('OK')	image/png	etag:%220ebe973a60d71:0%22	https://mychart.orlandohealth.com/MyChart/en-US/images/MyChart_city.png	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/en-US/images/MyChart_city.png	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:27	1510/1510	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Sep%202021%2019:34:26%20GMT	https://mychart.orlandohealth.com/MyChart/nojs.asp	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/nojs.html	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:28	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2209cd4e5c555d21:0%22	https://mychart.orlandohealth.com/MyChart/favicon.ico	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/favicon.ico	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:28	62577/62577	---M-Z	200	added ('OK')	text/css	etag:%2280a056c1c8cd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/common.css?updateDt=1628403173	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/en-us/styles/common28d1.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:29	9285/9285	---M-Z	200	added ('OK')	text/css	etag:%220379e6c1c8cd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/prelogin.css?updateDt=1628403174	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/en-us/styles/prelogin32ba.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:29	32938/32938	---M-Z	200	added ('OK')	text/css	etag:%220379e6c1c8cd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/menu.css?updateDt=1628403174	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/en-us/styles/menu32ba.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:30	32873/32873	---M-Z	200	added ('OK')	text/css	etag:%2280a056c1c8cd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/component.css?updateDt=1628403173	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/en-us/styles/component28d1.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:30	43179/43179	---M-Z	200	added ('OK')	text/css	etag:%2280a056c1c8cd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/colors.css?updateDt=1628403173	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/en-us/styles/colors28d1.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:31	53254/53254	---M-Z	200	added ('OK')	text/css	etag:%220379e6c1c8cd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/themes.css?updateDt=1628403174	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/en-us/styles/themes32ba.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:31	40/40	---M--	200	added ('OK')	text/css	etag:%224aa7a66c1c8cd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/externalcolors.css?updateDt=1628403174	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/en-us/styles/externalcolors32ba.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:32	6117/6117	---M-Z	200	added ('OK')	text/css	etag:%2280a056c1c8cd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/calendars.css?updateDt=1628403173	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/en-us/styles/calendars28d1.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:32	39856/39856	---M--	200	added ('OK')	text/css	etag:%2296cab6c1c8cd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/highcontrast.css?updateDt=1628403174	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/en-us/styles/highcontrast32ba.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:33	9609/9609	---M-Z	200	added ('OK')	text/css	etag:%220379e6c1c8cd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/mobile_responsivesite.css?updateDt=1628403174	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/en-us/styles/mobile_responsivesite32ba.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:33	5548/5548	---M-Z	200	added ('OK')	text/css	etag:%220379e6c1c8cd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/goo-grid/goo-grid.css?updateDt=1628403174	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/en-us/styles/goo-grid/goo-grid32ba.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:34	7712/7712	---M-Z	200	added ('OK')	text/css	etag:%220379e6c1c8cd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/mobile_gridadapter.css?updateDt=1628403174	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/en-us/styles/mobile_gridadapter32ba.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:34	388/388	---M--	200	added ('OK')	text/css	etag:%2277a6c56c1c8cd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/override.css?updateDt=1628403174	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/en-us/styles/override32ba.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:35	30920/30920	---M-Z	200	added ('OK')	text/css	etag:%220379e6c1c8cd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/print.css?updateDt=1628403174	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/en-us/styles/print32ba.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:35	145/145	---M--	302	error ('Found')	text/html	date:Fri,%2003%20Sep%202021%2019:34:35%20GMT	https://mychart.orlandohealth.com/MyChart/Home/LogOut	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/Home/LogOut.13.delayed	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:36	1230/1230	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Sep%202021%2019:34:35%20GMT	https://mychart.orlandohealth.com/MyChart/bye.asp?hideText=1	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/byeff86.html	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:36	10167/10167	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Sep%202021%2019:34:36%20GMT	https://mychart.orlandohealth.com/MyChart/Help/Cookies	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/Help/Cookies.html	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:36	176/176	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Sep%202021%2019:34:36%20GMT	https://mychart.orlandohealth.com/MyChart/	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/index.html	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:34:37	12645/12645	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Sep%202021%2019:34:36%20GMT	https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside.asp%3Fmode%3Dletters&lang=espanol	C:/My%20Web%20Sites/1/mychart.orlandohealth.com/MyChart/Authentication/Logina64f.html	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
