date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:54	186/186	---M--	302	error ('Object%20moved')	text/html	date:Fri,%2003%20Sep%202021%2019:26:52%20GMT	https://mychart.orlandohealth.com/MyChart/inside.asp?mode=letters	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/inside.02765.delayed	(from )
15:26:54	12452/12452	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Sep%202021%2019:26:52%20GMT	https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/Authentication/Login2d77.html	(from )
15:26:55	179/179	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Sep%202021%2019:26:53%20GMT	https://mychart.orlandohealth.com/robots.txt		(from )
15:26:55	116749/116749	---M--	200	added ('OK')	image/png	etag:%220ebe973a60d71:0%22	https://mychart.orlandohealth.com/MyChart/en-US/images/MyChart_city.png	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/en-US/images/MyChart_city.png	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:26:56	1510/1510	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Sep%202021%2019:26:54%20GMT	https://mychart.orlandohealth.com/MyChart/nojs.asp	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/nojs.html	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:26:56	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2209cd4e5c555d21:0%22	https://mychart.orlandohealth.com/MyChart/favicon.ico	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/favicon.ico	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:26:57	62577/62577	---M-Z	200	added ('OK')	text/css	etag:%220469ab8bd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/common.css?updateDt=1628285756	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/en-us/styles/commonebaf.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:26:57	9285/9285	---M-Z	200	added ('OK')	text/css	etag:%220469ab8bd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/prelogin.css?updateDt=1628285756	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/en-us/styles/preloginebaf.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:26:58	32938/32938	---M-Z	200	added ('OK')	text/css	etag:%220469ab8bd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/menu.css?updateDt=1628285756	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/en-us/styles/menuebaf.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:26:58	32873/32873	---M-Z	200	added ('OK')	text/css	etag:%220469ab8bd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/component.css?updateDt=1628285756	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/en-us/styles/componentebaf.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:26:59	43179/43179	---M-Z	200	added ('OK')	text/css	etag:%220469ab8bd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/colors.css?updateDt=1628285756	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/en-us/styles/colorsebaf.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:26:59	53254/53254	---M-Z	200	added ('OK')	text/css	etag:%2280dca1ab8bd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/themes.css?updateDt=1628285757	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/en-us/styles/themeseee5.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:27:00	40/40	---M--	200	added ('OK')	text/css	etag:%22463f7eab8bd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/externalcolors.css?updateDt=1628285756	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/en-us/styles/externalcolorsebaf.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:27:00	6117/6117	---M-Z	200	added ('OK')	text/css	etag:%220469ab8bd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/calendars.css?updateDt=1628285756	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/en-us/styles/calendarsebaf.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:27:01	39856/39856	---M--	200	added ('OK')	text/css	etag:%2240483ab8bd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/highcontrast.css?updateDt=1628285756	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/en-us/styles/highcontrastebaf.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:27:01	9609/9609	---M-Z	200	added ('OK')	text/css	etag:%220469ab8bd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/mobile_responsivesite.css?updateDt=1628285756	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/en-us/styles/mobile_responsivesiteebaf.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:27:02	5548/5548	---M-Z	200	added ('OK')	text/css	etag:%2280dca1ab8bd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/goo-grid/goo-grid.css?updateDt=1628285757	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/en-us/styles/goo-grid/goo-grideee5.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:27:02	7712/7712	---M-Z	200	added ('OK')	text/css	etag:%220469ab8bd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/mobile_gridadapter.css?updateDt=1628285756	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/en-us/styles/mobile_gridadapterebaf.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:27:03	388/388	---M--	200	added ('OK')	text/css	etag:%221dc9aab8bd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/override.css?updateDt=1628285756	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/en-us/styles/overrideebaf.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
15:27:04	30920/30920	---M-Z	200	added ('OK')	text/css	etag:%2280dca1ab8bd71:0%22	https://mychart.orlandohealth.com/MyChart/en-us/styles/print.css?updateDt=1628285757	C:/My%20Web%20Sites/health/mychart.orlandohealth.com/MyChart/en-us/styles/printeee5.css	(from https://mychart.orlandohealth.com/MyChart/Authentication/Login?postloginurl=inside%2Easp%3Fmode%3Dletters)
